osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w355881801,126.984531,37.568904,yes,,상업·업무,L4,내부 POI 1개: 공평동꼼장어
w355881802,126.984506,37.569022,yes,,상업·업무,L4,"내부 POI 2개: 빽다방, 더피자필"
w355881803,126.984880,37.569083,yes,,상업·업무,L4,"내부 POI 4개: 차돌박힌쭈꾸미, 지금보고싶다, 쏘핫마라탕&마라샹궈"
w355881804,126.984564,37.569096,yes,,상업·업무,L4,내부 POI 1개: 세븐일레븐
w355881805,126.984734,37.568944,yes,,상업·업무,L4,"내부 POI 2개: 엠지 호텔 종각, 유명갈비"
w355881806,126.985074,37.569135,yes,,상업·업무,L4,"내부 POI 3개: tourism=guest_house, 일월육일, 록키 넘버원"
w355881807,126.985296,37.569153,yes,,미분류,-,OSM 내 용도 근거 없음
w355881808,126.984732,37.568834,yes,,상업·업무,L4,내부 POI 1개: 녹지
w355884895,126.985016,37.568870,apartments,종로1번가 오피스텔,주거,L1,building=apartments
w355884896,126.985469,37.569128,yes,,상업·업무,L4,내부 POI 1개: 맛찬들왕소금구이
w355884897,126.985637,37.569130,yes,,상업·업무,L4,내부 POI 1개: 낭만
w355884898,126.985570,37.569015,yes,,상업·업무,L4,"내부 POI 2개: 청록미나리식당, 안동네"
w355884899,126.985523,37.568797,yes,,상업·업무,L4,"내부 POI 4개: 보스톤치과의원, 닥터포유의원 종로점, 18번가가요리믹스"
w355884900,126.985902,37.569128,yes,,상업·업무,L4,"내부 POI 4개: 스타벅스, BBQ치킨, 이리오너라"
w355884901,126.985806,37.568960,yes,,상업·업무,L4,내부 POI 1개: 에도마에텐동하마다
w355884902,126.985963,37.568946,yes,,상업·업무,L4,내부 POI 1개: 와인슈타인
w355884903,126.986121,37.569094,yes,,상업·업무,L4,"내부 POI 2개: 반쥴, 진대감"
w355884904,126.986287,37.569092,yes,,상업·업무,L4,내부 POI 1개: 청기와타운
w355884905,126.986110,37.568935,yes,,상업·업무,L4,내부 POI 1개: 왕비집
w355885580,126.986295,37.568933,yes,,상업·업무,L4,"내부 POI 2개: 된장예술과술, 이노참치"
w355885581,126.986476,37.569096,yes,,상업·업무,L4,"내부 POI 2개: 신촌황소곱창, 고기꾼김춘배"
